k,eps,Option1,Option2,D_0,Lambdamin,Lambdamax,Increasing,RBDeval,ETol,ps,Elapsed Time
1.18,0.03,1,2,0.7,1.03984375,1.040625,1,-0.000145334,0.001,0.1,14.4581662
1.18,0.05,1,2,0.7,1.03671875,1.0375,1,0.000399094,0.001,0.1,13.577182
1.18,0.075,1,2,0.7,1.03359375,1.034375,1,0.00017152,0.001,0.1,16.0209108
1.18,0.1,1,2,0.7,1.03046875,1.03125,1,-3.34E-05,0.001,0.1,19.3321418
1.18,0.15,1,2,0.7,1.02421875,1.025,1,-0.000374982,0.001,0.1,15.2563687
1.18,0.2,1,2,0.7,1.0171875,1.01796875,1,0.000297568,0.001,0.1,18.524843
1.18,0.25,1,2,0.7,1.0109375,1.01171875,1,0.000137217,0.001,0.1,18.4818787
1.18,0.3,1,2,0.7,1.0046875,1.00546875,1,6.78E-05,0.001,0.1,15.8797751
1.18,0.35,1,2,0.7,0.9984375,0.99921875,1,8.94E-05,0.001,0.1,13.6367829
1.18,0.4,1,2,0.7,0.9921875,0.99296875,1,0.00020192,0.001,0.1,17.8909224
1.18,0.45,1,2,0.7,0.9859375,0.98671875,1,0.00040554,0.001,0.1,15.8767427
1.18,0.5,1,2,0.7,0.98046875,0.98125,1,-0.000220367,0.001,0.1,19.4489165
1.18,0.55,1,2,0.7,0.97421875,0.975,1,0.000165918,0.001,0.1,21.7614121
1.18,0.6,1,2,0.7,0.96875,0.96953125,1,-0.000419897,0.001,0.1,14.8140142
1.18,0.65,1,2,0.7,0.9625,0.96328125,1,0.000137227,0.001,0.1,13.8121038
1.18,0.7,1,2,0.7,0.95703125,0.9578125,1,-0.000133318,0.001,0.1,15.4702009
1.18,0.75,1,2,0.7,0.9515625,0.95234375,1,-0.000491191,0.001,0.1,13.0675062
1.18,0.8,1,2,0.7,0.9453125,0.94609375,1,0.000328673,0.001,0.1,12.3742859
1.18,0.85,1,2,0.7,0.93984375,0.940625,1,0.000322215,0.001,0.1,13.1738742
1.18,0.9,1,2,0.7,0.934375,0.93515625,1,0.000192555,0.001,0.1,12.8914249
1.18,0.95,1,2,0.7,0.92890625,0.9296875,1,0.00035859,0.001,0.1,14.0725742
1.18,1,1,2,0.7,0.9234375,0.92421875,1,0.000377497,0.001,0.1,15.2543948
1.2,0.005,1,2,0.7,1.046875,1.04765625,1,5.09E-05,0.001,0.1,11.0714312
